Sentence	MOR_Tier	Error_Type
I got earrings too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr noun|earring-Plur-Acc adv|too .	No_Error_Detected
I took one right there and put xxx .	pron|I-Prs-Nom-S1 verb|take-Fin-Ind-Past-S1-irr num|one adv|right adv|there cconj|and verb|put-Fin-Ind-Past-S1-irr .	No_Error_Detected
so much thing .	adv|so adj|much-S1 noun|thing-Ger .	No_Error_Detected
they are same them .	pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Pres-P3 adj|same-S1 pron|they-Prs-Acc-P3 .	No_Error_Detected
here some make a for the house .	adv|here det|some-Def-Ind verb|make-Fin-Ind-Pres-P3 det|a-Ind-Art adp|for det|the-Def-Art noun|house .	No_Error_Detected
no mine i(s) .	det|no-Def-Neg pron|my-Prs-S1 aux|be-Fin-Ind-Pres-S3 .	No_Error_Detected
yeah , ave [: I've] done it .	intj|yeah cm|cm pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 verb|do-Part-Past-S-irr pron|it-Prs-Acc-S3 .	No_Error_Detected
(h)ow to make a tent .	adv|how part|to verb|make-Inf-S det|a-Ind-Art noun|tent-Acc .	No_Error_Detected
yeah it is .	intj|yeah pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 .	No_Error_Detected
that [?] there [?] .	pron|that-Dem adv|there .	No_Error_Detected
zzz they're out .	noun|zzz pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|out .	No_Error_Detected
zzz can it shut .	noun|zzz-Acc aux|can-Fin-S pron|it-Prs-Nom-S3 verb|shut-Inf-S .	No_Error_Detected
zzz again .	noun|zzz adv|again .	No_Error_Detected
zzz again .	noun|zzz adv|again .	No_Error_Detected
this on there .	pron|this-Dem-S1 adp|on adv|there .	No_Error_Detected
it's [?] a space .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|space .	No_Error_Detected
what's this ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?	No_Error_Detected
that's Michael .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 propn|Michael .	No_Error_Detected
it's [?] a back [?] up .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|back adp|up .	No_Error_Detected
I [?] wanna wee .	pron|I-Prs-Nom-S1 aux|wanna-Fin-Ind-Pres-S1 intj|wee .	No_Error_Detected
want that there .	verb|want-Fin-Ind-Pres-S2 pron|that-Dem adv|there .	No_Error_Detected
don't catch me .	aux|do-Fin-Imp-S~part|not verb|catch-Fin-Imp-S pron|I-Prs-Acc-S1 .	No_Error_Detected
he's stolen my bike .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|steal-Part-Past-S-irr pron|my-Prs-Gen-S1 noun|bike-Acc .	No_Error_Detected
no they're up there .	intj|no pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|up adv|there .	No_Error_Detected
cold <is it> [?] .	adj|cold-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .	No_Error_Detected
where the bed ?	adv|where det|the-Def-Art noun|bed ?	No_Error_Detected
&-uh it's the baby .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|baby .	No_Error_Detected
shall we catch the ball ?	aux|shall-Fin-S pron|we-Prs-Nom-P1 verb|catch-Inf-S det|the-Def-Art noun|ball-Acc ?	No_Error_Detected
shall we get this off ?	aux|shall-Fin-S pron|we-Prs-Nom-P1 verb|get-Inf-S pron|this-Dem-S1 adp|off ?	No_Error_Detected
I'll sit on the floor .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|sit-Inf-S adp|on det|the-Def-Art noun|floor .	No_Error_Detected
don't come in me house .	aux|do-Fin-Imp-S~part|not verb|come-Fin-Imp-S adp|in pron|I-Prs-Acc-S1 noun|house .	No_Error_Detected
don't come in me house .	aux|do-Fin-Imp-S~part|not verb|come-Fin-Imp-S adp|in pron|I-Prs-Acc-S1 noun|house .	No_Error_Detected
where's it ?	adv|where~aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?	No_Error_Detected
and (.) it crashed over there .	cconj|and pron|it-Prs-Nom-S3 verb|crash-Fin-Ind-Past-S3 adp|over adv|there .	No_Error_Detected
(.) move them away .	verb|move-Fin-Imp-S pron|they-Prs-Acc-P3 adv|away .	No_Error_Detected
here you are .	adv|here pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Pres-S2 .	No_Error_Detected
here you are .	adv|here pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Pres-S2 .	No_Error_Detected
mine next .	pron|my-Prs-S1 adv|next .	No_Error_Detected
that down .	pron|that-Dem adv|down .	No_Error_Detected
all fall down .	det|all-Def-Tot noun|fall adv|down .	No_Error_Detected
there , that [>] .	adv|there cm|cm pron|that-Dem .	No_Error_Detected
it is a field .	pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|field .	No_Error_Detected
keep it (.) &-er there .	verb|keep-Fin-Imp-S pron|it-Prs-Acc-S3 adv|there .	No_Error_Detected
I'm getting them up .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|get-Part-Pres-S pron|they-Prs-Acc-P3 adp|up .	No_Error_Detected
keeping it round [?] here .	verb|keep-Part-Pres-S pron|it-Prs-Acc-S3 adv|round adv|here .	No_Error_Detected
they won't fit in there !	pron|they-Prs-Nom-P3 aux|will-Fin-S~part|not verb|fit-Inf-S adp|in adv|there !	No_Error_Detected
yeah make it right bigger right there .	intj|yeah verb|make-Fin-Imp-S pron|it-Prs-Acc-S3 adv|right adj|big-Cmp-S1 adv|right adv|there .	No_Error_Detected
got [?] these [?] down there !	verb|get-Fin-Ind-Past-S1-irr pron|this-Dem-P1 adp|down adv|there !	No_Error_Detected
xxx xxx won't fit in the the curve [?] .	aux|will-Fin-S~part|not verb|fit-Fin-Imp-S adp|in det|the-Def-Art det|the-Def-Art noun|curve .	No_Error_Detected
need a little one now .	verb|need-Fin-Ind-Pres-S det|a-Ind-Art adj|little-S1 noun|one-Acc adv|now .	No_Error_Detected
I'll get a little one .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|get-Inf-S det|a-Ind-Art adj|little-S1 noun|one-Acc .	No_Error_Detected
have we got a little one ?	aux|have-Fin-Ind-Pres-P1 pron|we-Prs-Nom-P1 verb|get-Part-Past-S-irr det|a-Ind-Art adj|little-S1 noun|one-Acc ?	No_Error_Detected
I'll find a little one .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|find-Inf-S det|a-Ind-Art adj|little-S1 noun|one-Acc .	No_Error_Detected
you've got a little one .	pron|you-Prs-Nom-S2~aux|have-Fin-Ind-Pres-S2 verb|get-Part-Past-S-irr det|a-Ind-Art adj|little-S1 noun|one-Acc .	No_Error_Detected
that's a gap .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|gap .	No_Error_Detected
no this can (.) a horsie can jump over [?] the wall .	intj|no pron|this-Dem-S1 aux|can-Fin-S det|a-Ind-Art noun|horsie aux|can-Fin-S verb|jump-Inf-S adp|over det|the-Def-Art noun|wall .	No_Error_Detected
it can round [?] there .	pron|it-Prs-Nom-S3 aux|can-Fin-S adv|round adv|there .	No_Error_Detected
and I've got two tigers .	cconj|and pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 verb|get-Part-Past-S-irr num|two noun|tiger-Plur-Acc .	No_Error_Detected
that's a +...	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art +...	No_Error_Detected
and that's a tiger .	cconj|and pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tiger .	No_Error_Detected
hey I've got lots tigers !	intj|hey pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 verb|get-Part-Past-S-irr noun|lot-Plur noun|tiger-Plur-Acc !	No_Error_Detected
where's the lion ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|lion ?	No_Error_Detected
that's that's a dog [?] .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|dog .	No_Error_Detected
that's +...	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 +...	No_Error_Detected
some of them are old .	det|some-Def-Ind adp|of pron|they-Prs-Acc-P3 aux|be-Fin-Ind-Pres-P3 adj|old-S1 .	No_Error_Detected
we've got a lot of tigers .	pron|we-Prs-Nom-P1~aux|have-Fin-Ind-Pres-P1 verb|get-Part-Past-S-irr det|a-Ind-Art noun|lot-Acc adp|of noun|tiger-Plur .	No_Error_Detected
these are tigers xxx xxx .	pron|this-Dem-P1 aux|be-Fin-Ind-Pres-P3 noun|tiger-Plur .	No_Error_Detected
but you said [?] that that's a tiger .	cconj|but pron|you-Prs-Nom-S2 verb|say-Fin-Ind-Past-S2-irr sconj|that pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tiger .	No_Error_Detected
that's the fur .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|fur .	No_Error_Detected
them go on there .	pron|they-Prs-Acc-P3 verb|go-Fin-S adp|on adv|there .	No_Error_Detected
there's a tree there .	pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tree adv|there .	No_Error_Detected
that's a big tree .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art adj|big-S1 noun|tree .	No_Error_Detected
there might be another somewhere .	pron|there-Int-S1 aux|might-Fin-S verb|be-Inf-S det|another-Def-Ind adv|somewhere .	No_Error_Detected
needta make (.) I want a big field right right there .	noun|needta verb|make-Fin-Imp-S pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 det|a-Ind-Art adj|big-S1 noun|field-Acc adv|right adv|right adv|there .	No_Error_Detected
that's a door cap [?] .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|door noun|cap .	No_Error_Detected
and kangaroos go round there .	cconj|and noun|kangaroo-Plur verb|go-Fin-Ind-Pres-P3 adv|round adv|there .	No_Error_Detected
kangaroo's done that .	propn|kangaroo~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Past-S-irr pron|that-Dem .	No_Error_Detected
a bit more room with [?] these kangaroos got here [?] .	det|a-Ind-Art noun|bit adj|more-Cmp-S1 noun|room adp|with det|this-Def-Dem-Plur noun|kangaroo-Plur verb|get-Fin-Ind-Past-P3-irr adv|here .	No_Error_Detected
and [?] ah that's a baby one !	cconj|and intj|ah pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|baby noun|one !	No_Error_Detected
a baby is it ?	det|a-Ind-Art noun|baby aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?	No_Error_Detected
oh (.) what them all get mixed up .	intj|oh pron|what-Int-S1 pron|they-Prs-Acc-P3 det|all-Def-Tot aux|get-Fin-Ind-Pres-P3 verb|mix-Part-Past-S adp|up .	No_Error_Detected
they're new ones .	pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adj|new-S1 noun|one-Plur .	No_Error_Detected
what , don't put them next to the other ones .	pron|what-Int-S1 cm|cm aux|do-Fin-Imp-S~part|not verb|put-Fin-Imp-S pron|they-Prs-Acc-P3 adv|next adp|to det|the-Def-Art adj|other-S1 noun|one-Plur .	No_Error_Detected
and where's the old ones ?	cconj|and adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art adj|old-S1 noun|one-Plur ?	No_Error_Detected
is these some bricks ?	aux|be-Fin-Ind-Pres-S3 pron|this-Dem-P1 det|some-Def-Ind noun|brick-Plur ?	No_Error_Detected
that's a cat .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|cat .	No_Error_Detected
got a cat there and monkeys run up the field .	verb|get-Fin-Ind-Past-S1-irr det|a-Ind-Art noun|cat-Acc adv|there cconj|and noun|monkey-Plur verb|run-Fin-Ind-Pres-P3 adp|up det|the-Def-Art noun|field .	No_Error_Detected
din din is it ready ?	noun|din noun|din aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 adj|ready-S1 ?	No_Error_Detected
I can do this one , all [?] this .	pron|I-Prs-Nom-S1 aux|can-Fin-S verb|do-Inf-S det|this-Def-Dem-Sing num|one cm|cm det|all-Def-Tot pron|this-Dem-S1 .	No_Error_Detected
where's bit [?] ?	adv|where~aux|be-Fin-Ind-Pres-S3 noun|bit ?	No_Error_Detected
where's the next [?] bit ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art adj|next-S1 noun|bit ?	No_Error_Detected
xxx xxx xxx can't find it .	aux|can-Fin-S~part|not verb|find-Inf-S pron|it-Prs-Acc-S3 .	No_Error_Detected
then you can find that bit .	adv|then pron|you-Prs-Nom-S2 aux|can-Fin-S verb|find-Inf-S det|that-Def-Dem-Sing noun|bit-Acc .	No_Error_Detected
do these first then you can find that bit .	verb|do-Fin-Imp-S pron|this-Dem-P1 adj|first-S1 adv|then pron|you-Prs-Nom-S2 aux|can-Fin-S verb|find-Inf-S det|that-Def-Dem-Sing noun|bit-Acc .	No_Error_Detected
that bit go on there .	det|that-Def-Dem-Sing noun|bit verb|go-Fin-Imp-S adp|on adv|there .	No_Error_Detected
that bit do .	det|that-Def-Dem-Sing noun|bit aux|do-Fin-Ind-Pres-P3 .	No_Error_Detected
that's a bridge .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|bridge .	No_Error_Detected
it can go up on the bridge .	pron|it-Prs-Nom-S3 aux|can-Fin-S verb|go-Inf-S adp|up adp|on det|the-Def-Art noun|bridge .	No_Error_Detected
that's go on there .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 verb|go-Inf-S adp|on adv|there .	No_Error_Detected
that go on there .	pron|that-Dem verb|go-Fin-Ind-Pres-P3 adp|on adv|there .	No_Error_Detected
and tha:t go on there .	cconj|and pron|that-Dem verb|go-Fin-Ind-Pres-P3 adp|on adv|there .	No_Error_Detected
move it along .	verb|move-Fin-Imp-S pron|it-Prs-Acc-S3 adv|along .	No_Error_Detected
I'm finding this bit now .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|find-Part-Pres-S det|this-Def-Dem-Sing noun|bit-Acc adv|now .	No_Error_Detected
I'm finding this bit .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|find-Part-Pres-S det|this-Def-Dem-Sing noun|bit-Acc .	No_Error_Detected
that's it .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .	No_Error_Detected
no this one there .	intj|no det|this-Def-Dem-Sing noun|one adv|there .	No_Error_Detected
and that go on there .	cconj|and pron|that-Dem verb|go-Fin-Ind-Pres-P3 adp|on adv|there .	No_Error_Detected
you says go up there .	pron|you-Prs-Nom-S2 verb|say-Fin-Ind-Pres-S3 verb|go-Inf-S adp|up adv|there .	No_Error_Detected
it's not .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not .	No_Error_Detected
no it can go there .	intj|no pron|it-Prs-Nom-S3 aux|can-Fin-S verb|go-Inf-S adv|there .	No_Error_Detected
yes it go there .	intj|yes pron|it-Prs-Nom-S3 verb|go-Fin-Ind-Pres-S3 adv|there .	No_Error_Detected
this go there .	pron|this-Dem-S1 verb|go-Fin-Imp-S adv|there .	No_Error_Detected
no it don't .	intj|no pron|it-Prs-Nom-S3 aux|do-Fin-Ind-Pres-S3~part|not .	No_Error_Detected
hey , that bit go there .	intj|hey cm|cm det|that-Def-Dem-Sing noun|bit verb|go-Fin-Ind-Pres-S3 adv|there .	No_Error_Detected
go there that bit .	verb|go-Fin-Imp-S adv|there det|that-Def-Dem-Sing noun|bit .	No_Error_Detected
I'm right .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|right-S1 .	No_Error_Detected
turn it round .	verb|turn-Fin-Imp-S pron|it-Prs-Acc-S3 adv|round .	No_Error_Detected
turn it round .	verb|turn-Fin-Imp-S pron|it-Prs-Acc-S3 adv|round .	No_Error_Detected
now unplug it .	adv|now verb|unplug-Fin-Imp-S pron|it-Prs-Acc-S3 .	No_Error_Detected
do mine .	aux|do-Fin-Ind-Pres-S3 pron|my-Prs-S1 .	No_Error_Detected
mine instead [?] .	pron|my-Prs-S1 adv|instead .	No_Error_Detected
got it on again .	verb|get-Fin-Ind-Past-S1-irr pron|it-Prs-Acc-S3 adp|on adv|again .	No_Error_Detected
is this one damaged [?] ?	aux|be-Fin-Ind-Pres-S3 det|this-Def-Dem-Sing noun|one verb|damage-Part-Past-S ?	No_Error_Detected
is this one damaged [?] ?	aux|be-Fin-Ind-Pres-S3 det|this-Def-Dem-Sing noun|one verb|damage-Part-Past-S ?	No_Error_Detected
oh it's not on properly that .	intj|oh pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not adp|on adv|properly pron|that-Dem .	No_Error_Detected
I turn it on and on .	pron|I-Prs-Nom-S1 verb|turn-Fin-Ind-Pres-S1 pron|it-Prs-Acc-S3 adp|on cconj|and adv|on .	No_Error_Detected
stop , it's stop .	verb|stop-Fin-Imp-S cm|cm pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|stop-Inf-S .	No_Error_Detected
oh [?] I can find some more .	intj|oh pron|I-Prs-Nom-S1 aux|can-Fin-S verb|find-Inf-S det|some-Def-Ind adj|more-Cmp-S1 .	No_Error_Detected
my , I ca(n't) my train won't work .	pron|my-Prs-Gen-S1 cm|cm pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not pron|my-Prs-Gen-S1 noun|train aux|will-Fin-S~part|not verb|work-Inf-S .	No_Error_Detected
and then that other one .	cconj|and adv|then det|that-Def-Dem-Sing adj|other-S1 noun|one .	No_Error_Detected
that up there .	pron|that-Dem adp|up adv|there .	No_Error_Detected
that's not hard .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 part|not adj|hard-S1 .	No_Error_Detected
track is broken .	noun|track aux|be-Fin-Ind-Pres-S3 verb|break-Part-Past-S-irr .	No_Error_Detected
no , I can't do a jigsaw .	intj|no cm|cm pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|do-Inf-S det|a-Ind-Art noun|jigsaw-Acc .	No_Error_Detected
hey my train set can go round there .	intj|hey pron|my-Prs-Gen-S1 noun|train noun|set aux|can-Fin-S verb|go-Inf-S adv|round adv|there .	No_Error_Detected
you can make a I can make a fat one for the big one .	pron|you-Prs-Nom-S2 aux|can-Fin-S verb|make-Inf-S det|a-Ind-Art pron|I-Prs-Nom-S1 aux|can-Fin-S verb|make-Inf-S det|a-Ind-Art adj|fat-S1 noun|one-Acc adp|for det|the-Def-Art adj|big-S1 noun|one .	No_Error_Detected
mummie I can make a big one .	noun|mummie pron|I-Prs-Nom-S1 aux|can-Fin-S verb|make-Inf-S det|a-Ind-Art adj|big-S1 noun|one-Acc .	No_Error_Detected
where's my , where's my tunnel ?	adv|where~aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 cm|cm adv|where~aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 noun|tunnel ?	No_Error_Detected
hey where's my tunnel ?	intj|hey adv|where~aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 noun|tunnel ?	No_Error_Detected
now I play my tunnel .	adv|now pron|I-Prs-Nom-S1 verb|play-Fin-Ind-Pres-S1 pron|my-Prs-Gen-S1 noun|tunnel-Acc .	No_Error_Detected
is that a bridge ?	aux|be-Fin-Ind-Pres-S3 sconj|that det|a-Ind-Art noun|bridge ?	No_Error_Detected
this one a tunnel and that's a bridge .	det|this-Def-Dem-Sing noun|one det|a-Ind-Art noun|tunnel cconj|and pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|bridge .	No_Error_Detected
but it's going down my tunnel first .	cconj|but pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S adp|down pron|my-Prs-Gen-S1 noun|tunnel adv|first .	No_Error_Detected
that's it .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .	No_Error_Detected
yeah , is that yours ?	intj|yeah cm|cm aux|be-Fin-Ind-Pres-S3 sconj|that pron|your-Prs-S2 ?	No_Error_Detected
it's not .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not .	No_Error_Detected
it's Adam .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 propn|Adam .	No_Error_Detected
right I make a man .	adv|right pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 det|a-Ind-Art noun|man-Acc .	No_Error_Detected
no , I won't [?] .	intj|no cm|cm pron|I-Prs-Nom-S1 aux|will-Fin-S~part|not .	No_Error_Detected
another [?] one here .	det|another-Def-Ind noun|one adv|here .	No_Error_Detected
here [?] a road .	adv|here det|a-Ind-Art noun|road .	No_Error_Detected
you [?] can .	pron|you-Prs-Nom-S2 aux|can-Fin-S .	No_Error_Detected
this is car road like this .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 noun|car noun|road adp|like pron|this-Dem-S1 .	No_Error_Detected
I'm [?] not .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not .	No_Error_Detected
you got one in there .	pron|you-Prs-Nom-S2 verb|get-Fin-Ind-Past-S2-irr num|one adp|in adv|there .	No_Error_Detected
and then play with [?] them .	cconj|and adv|then verb|play-Fin-Imp-S adp|with pron|they-Prs-Acc-P3 .	No_Error_Detected
and put them in there .	cconj|and verb|put-Fin-Imp-S pron|they-Prs-Acc-P3 adp|in adv|there .	No_Error_Detected
xxx instead xxx is xxx xxx men .	adv|instead aux|be-Fin-Ind-Pres-S3 noun|man-Plur .	No_Error_Detected
me instead ?	pron|I-Prs-Acc-S1 adv|instead ?	No_Error_Detected
built it again .	verb|build-Fin-Ind-Past-S1-irr pron|it-Prs-Acc-S3 adv|again .	No_Error_Detected
is that a car road ?	aux|be-Fin-Ind-Pres-S3 sconj|that det|a-Ind-Art noun|car noun|road ?	No_Error_Detected
I'm making chairs .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|make-Part-Pres-S noun|chair-Plur-Acc .	No_Error_Detected
that [?] do again .	pron|that-Dem verb|do-Fin-Ind-Pres-P3 adv|again .	No_Error_Detected
(th)at's a t(r)ee .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tree .	No_Error_Detected
girls doe [: go] in (th)ere .	noun|girl-Plur verb|go-Fin-Ind-Pres-P3 adp|in adv|there .	No_Error_Detected
he still tired .	pron|he-Prs-Nom-S3 adv|still adj|tired-S1 .	No_Error_Detected
it's a mummy .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|mummy .	No_Error_Detected
where's (th)e bed gone ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|bed adj|gone-S1 ?	No_Error_Detected
what should they make ?	pron|what-Int-S1 aux|should-Fin-S pron|they-Prs-Nom-P3 verb|make-Inf-S ?	No_Error_Detected
&-er mummy's doin(g) cooking (th)is .	noun|mummy~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Pres-S verb|cook-Ger-S pron|this-Dem-S1 .	No_Error_Detected
(th)is is a xxx t(r)ees .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tree-Plur .	No_Error_Detected
they all t(r)ee there .	pron|they-Prs-Nom-P3 det|all-Def-Tot verb|tree-Fin-Ind-Pres-P3 adv|there .	No_Error_Detected
(th)at she's doin(g) on her .	sconj|that pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Pres-S adp|on pron|her-Prs-Acc-S3 .	No_Error_Detected
she call(ed) girl now .	pron|she-Prs-Nom-S3 verb|call-Fin-Ind-Past-S3 noun|girl-Acc adv|now .	No_Error_Detected
that's a mummy on the chair xxx .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|mummy adp|on det|the-Def-Art noun|chair .	No_Error_Detected
&~aw don't put it on chairs !	aux|do-Fin-Imp-S~part|not verb|put-Fin-Imp-S pron|it-Prs-Acc-S3 adp|on noun|chair-Plur !	No_Error_Detected
that xxx outside xxx .	pron|that-Dem adv|outside .	No_Error_Detected
not play &~a:h the boy sit in (th)ere .	part|not verb|play-Fin-Imp-S det|the-Def-Art noun|boy-Acc verb|sit-Fin-Imp-S adp|in adv|there .	No_Error_Detected
is that mummy bed .	aux|be-Fin-Ind-Pres-S3 det|that-Def-Dem-Sing noun|mummy noun|bed .	No_Error_Detected
