Sentence	MOR_Tier
I make a road here making a road .	pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 det|a-Ind-Art noun|road-Acc adv|here verb|make-Part-Pres-S det|a-Ind-Art noun|road-Acc .
trying to make a road here .	verb|try-Part-Pres-S part|to verb|make-Inf-S det|a-Ind-Art noun|road-Acc adv|here .
just the cars .	adv|just det|the-Def-Art noun|car-Plur .
where 0is the [/] the wheel .	adv|where det|the-Def-Art noun|wheel .
lookit circle here .	adj|lookit-S1 noun|circle adv|here .
where's the building ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|building-Ger ?
here's the building .	adv|here~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|building-Ger .
where's that other bridge ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|that-Def-Dem-Sing adj|other-S1 noun|bridge ?
there it is .	pron|there-Int-S1 pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 .
what's your name Rita ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|name propn|Rita ?
lookit here .	noun|lookit adv|here .
where 0is more toy [* 0s] ?	adv|where adj|more-Cmp-S1 noun|toy ?
where [* 0's] 0the dump truck ?	adv|where noun|dump noun|truck ?
me take 0it apart .	pron|I-Prs-Acc-S1 verb|take-Fin-Ind-Pres-S1 adv|apart .
where 0is that thing 0that go [* 0s] down ?	adv|where det|that-Def-Dem-Sing noun|thing-Ger verb|go-Fin-Ind-Pres-P3 adp|down ?
is there a thing that makes it , is it this thing ?	verb|be-Fin-Ind-Pres-S3 pron|there-Int-S1 det|a-Ind-Art noun|thing-Ger pron|that-Rel verb|make-Fin-Ind-Pres-S3 pron|it-Prs-Acc-S3 cm|cm aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 det|this-Def-Dem-Sing noun|thing-Ger ?
getting gas in here .	verb|get-Part-Pres-S noun|gas-Acc adp|in adv|here .
what's this here ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 adv|here ?
where 0is that other one ?	adv|where det|that-Def-Dem-Sing adj|other-S1 noun|one ?
where's the other one ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art adj|other-S1 noun|one ?
what's this here ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 adv|here ?
what's this here ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 adv|here ?
that goes where ?	pron|that-Dem verb|go-Fin-Ind-Pres-S3 adv|where ?
it's going xxx .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S .
these are some more .	pron|this-Dem-P1 aux|be-Fin-Ind-Pres-P3 det|some-Def-Ind adj|more-Cmp-S1 .
where 0is the spaceship .	adv|where det|the-Def-Art noun|spaceship .
you wanna ?	pron|you-Prs-Nom-S2 aux|wanna-Fin-Ind-Pres-S2 ?
wanna put the spaceship in here ?	propn|wanna verb|put-Fin-Ind-Past-S3-irr det|the-Def-Art noun|spaceship-Acc adp|in adv|here ?
I want the wheels out .	pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 det|the-Def-Art noun|wheel-Plur-Acc adv|out .
say I can drive with the wheel .	verb|say-Fin-Imp-S pron|I-Prs-Nom-S1 aux|can-Fin-S verb|drive-Inf-S adp|with det|the-Def-Art noun|wheel .
if I can .	sconj|if pron|I-Prs-Nom-S1 aux|can-Fin-S .
he's gonna drive .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|go verb|drive-Inf-S .
it's gonna drive .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|go verb|drive-Inf-S .
it's going bye bye .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S noun|bye-Acc intj|bye .
it's going bye bye .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S noun|bye-Acc intj|bye .
I'm getting this out .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|get-Part-Pres-S pron|this-Dem-S1 adp|out .
what's this here ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 adv|here ?
they're going driving .	pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 verb|go-Part-Pres-S verb|drive-Part-Pres-S .
trying to put them together so fire won't come out .	verb|try-Part-Pres-S part|to verb|put-Inf-S pron|they-Prs-Acc-P3 adv|together sconj|so noun|fire aux|will-Fin-S~part|not verb|come-Inf-S adp|out .
I can't put them together .	pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|put-Inf-S pron|they-Prs-Acc-P3 adv|together .
look it's going .	verb|look-Fin-Imp-S pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S .
round here lookit .	adv|round adv|here noun|lookit .
that's funny .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 adj|funny-S1 .
I tried to put this together .	pron|I-Prs-Nom-S1 verb|try-Fin-Ind-Past-S1 part|to verb|put-Inf-S pron|this-Dem-S1 adv|together .
make a door here .	verb|make-Fin-Imp-S det|a-Ind-Art noun|door-Acc adv|here .
make a door there .	verb|make-Fin-Imp-S det|a-Ind-Art noun|door-Acc adv|there .
I'm making a piece .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|make-Part-Pres-S det|a-Ind-Art noun|piece-Acc .
oh you broke the window off of here .	intj|oh pron|you-Prs-Nom-S2 verb|break-Fin-Ind-Past-S2-irr det|the-Def-Art noun|window-Acc adp|off adp|of adv|here .
that tree's up here .	det|that-Def-Dem-Sing noun|tree~aux|be-Fin-Ind-Pres-S3 adp|up adv|here .
it's gonna be .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|go aux|be-Inf-S .
oh what's here .	intj|oh pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 adv|here .
what's here ride a hole ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 adv|here verb|ride-Fin-Imp-S det|a-Ind-Art noun|hole-Acc ?
I think so .	pron|I-Prs-Nom-S1 verb|think-Fin-Ind-Pres-S1 adv|so .
put this here ?	verb|put-Fin-Imp-S pron|this-Dem-S1 adv|here ?
animals gonna eat dog up .	noun|animal-Plur adv|gonna verb|eat-Inf-P3 noun|dog-Acc adp|up .
can dog a doggie ?	aux|can-Fin-S verb|dog-Inf-S det|a-Ind-Art noun|doggie-Acc ?
he 0is gonna climb up the fence .	pron|he-Prs-Nom-S3 adv|gonna verb|climb-Inf-S adp|up det|the-Def-Art noun|fence .
he ain't gonna get one .	pron|he-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3~part|not part|go verb|get-Inf-S num|one .
he can't eat these .	pron|he-Prs-Nom-S3 aux|can-Fin-S~part|not verb|eat-Inf-S pron|this-Dem-P1 .
you can't eat .	pron|you-Prs-Nom-S2 aux|can-Fin-S~part|not verb|eat-Inf-S .
because some people do .	sconj|because det|some-Def-Ind noun|person-Plur aux|do-Fin-Ind-Pres-P3 .
me don't though .	pron|I-Prs-Acc-S1 aux|do-Fin-Ind-Pres-S1~part|not adv|though .
that one's done now this one .	sconj|that pron|one-Prs-S3~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Past-S-irr adv|now det|this-Def-Dem-Sing noun|one .
hey maybe we're sitting in there all night .	intj|hey adv|maybe pron|we-Prs-Nom-P1~aux|be-Fin-Ind-Pres-P1 verb|sit-Part-Pres-S adp|in adv|there det|all-Def-Tot noun|night .
I better not eat him because he's been nice .	pron|I-Prs-Nom-S1 adv|well part|not verb|eat-Inf-S pron|he-Prs-Acc-S3 sconj|because pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 aux|be-Part-Past-S-irr adj|nice-S1 .
he's not I better eat him up .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not pron|I-Prs-Nom-S1 adj|good-Cmp-S1 verb|eat-Inf-S pron|he-Prs-Acc-S3 adp|up .
here are animals too .	adv|here aux|be-Fin-Ind-Pres-P3 noun|animal-Plur adv|too .
can you hear it ?	aux|can-Fin-S pron|you-Prs-Nom-S2 verb|hear-Inf-S pron|it-Prs-Acc-S3 ?
I don't know what does horsie say ?	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S pron|what-Int-S1 aux|do-Fin-Ind-Pres-S3 propn|horsie verb|say-Inf-S ?
where 0is that match box car dump truck ?	adv|where det|that-Def-Dem-Sing noun|match noun|box noun|car noun|dump noun|truck ?
big truck [* 0's] too .	adj|big-S1 noun|truck adv|too .
lot 0of car [* 0s] go in there .	noun|lot noun|car verb|go-Fin-Imp-S adp|in adv|there .
this haul [* 0es] tree log [* 0s] too .	det|this-Def-Dem-Sing noun|haul noun|tree noun|log adv|too .
build this again .	verb|build-Fin-Imp-S pron|this-Dem-S1 adv|again .
one hang threes down .	num|one verb|hang-Fin-Ind-Pres-S3 noun|three-Plur-Acc adv|down .
make car wash again .	verb|make-Fin-Imp-S noun|car noun|wash-Acc adv|again .
now me need that kind .	adv|now pron|I-Prs-Acc-S1 verb|need-Fin-Ind-Pres-S1 det|that-Def-Dem-Sing noun|kind-Acc .
where 0is 0the car ?	adv|where noun|car ?
over by that door .	adv|over adp|by det|that-Def-Dem-Sing noun|door .
better build 0a big one .	adv|well verb|build-Fin-Imp-S adj|big-S1 noun|one-Acc .
I can .	pron|I-Prs-Nom-S1 aux|can-Fin-S .
me can .	pron|I-Prs-Acc-S1 aux|can-Fin-S .
what is that ?	pron|what-Int-S1 aux|be-Fin-Ind-Pres-S3 pron|that-Dem ?
no fall down .	det|no-Def-Neg noun|fall adv|down .
here's what do .	adv|here~aux|be-Fin-Ind-Pres-S3 pron|what-Int-S1 aux|do-Fin-Ind-Pres-P3 .
first I gonna do this one .	adv|first pron|I-Prs-Nom-S1 adv|gonna verb|do-Inf-S det|this-Def-Dem-Sing noun|one-Acc .
this is my coloring book .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 noun|coloring-Ger noun|book .
I [* 0'm] gonna finish on that other page .	pron|I-Prs-Nom-S1 adv|gonna verb|finish-Inf-S adp|on det|that-Def-Dem-Sing adj|other-S1 noun|page .
show ya what I [* 0'm] gonna do .	verb|show-Fin-Imp-S pron|you-Prs-Acc-S2 pron|what-Rel-S1 pron|I-Prs-Nom-S1 adv|gonna verb|do-Fin-Ind-Pres-S1 .
some are this one some are that .	det|some-Def-Ind aux|be-Fin-Ind-Pres-P3 det|this-Def-Dem-Sing noun|one det|some-Def-Ind aux|be-Fin-Ind-Pres-P3 pron|that-Dem .
I do gonna finish this one .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1 part|go verb|finish-Inf-S det|this-Def-Dem-Sing noun|one-Acc .
right after finish that me I do all these .	adv|right adp|after noun|finish sconj|that pron|I-Prs-Acc-S1 pron|I-Prs-Nom-S1 verb|do-Fin-Ind-Pres-S1 det|all-Def-Tot pron|this-Dem-P1 .
we should use these and put it right on that .	pron|we-Prs-Nom-P1 aux|should-Fin-S verb|use-Inf-S pron|this-Dem-P1 cconj|and verb|put-Inf-S pron|it-Prs-Acc-S3 adv|right adp|on pron|that-Dem .
yeah and he can hop over all .	intj|yeah cconj|and pron|he-Prs-Nom-S3 aux|can-Fin-S verb|hop-Inf-S adp|over det|all-Def-Tot .
man can go .	noun|man aux|can-Fin-S verb|go-Inf-S .
he can't work on sesame street .	pron|he-Prs-Nom-S3 aux|can-Fin-S~part|not verb|work-Inf-S adp|on noun|sesame noun|street .
no he can watch me .	intj|no pron|he-Prs-Nom-S3 aux|can-Fin-S verb|watch-Inf-S pron|I-Prs-Acc-S1 .
this is superman right there .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 noun|superman adv|right adv|there .
I know how to write my name .	pron|I-Prs-Nom-S1 verb|know-Fin-Ind-Pres-S1 adv|how part|to verb|write-Inf-S pron|my-Prs-Gen-S1 noun|name-Acc .
