Sentence	MOR_Tier
and then them tell my mom when them [/] when them poop on my house .	cconj|and adv|then pron|they-Prs-Acc-P3 verb|tell-Inf-S pron|my-Prs-Gen-S1 noun|mom adv|when adv|when pron|they-Prs-Acc-P3 verb|poop-Fin-Ind-Pres-P3 adp|on pron|my-Prs-Gen-S1 noun|house .
I'll put it in my room .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|put-Inf-S pron|it-Prs-Acc-S3 adp|in pron|my-Prs-Gen-S1 noun|room .
big bird is big .	adj|big-S1 noun|bird aux|be-Fin-Ind-Pres-S3 adj|big-S1 .
&-uh huh (.) cookie monster [/] cookie monster is green .	intj|huh noun|cookie noun|cookie noun|monster aux|be-Fin-Ind-Pres-S3 adj|green-S1 .
+, just that cookie monster (.) eat (.) &-uh cookie and mean .	adv|just det|that-Def-Dem-Sing noun|cookie noun|monster verb|eat-Fin-Ind-Pres-S3 noun|cookie-Acc cconj|and verb|mean-Fin-Imp-S .
how funny (.) he does .	adv|how adj|funny-S1 pron|he-Prs-Nom-S3 aux|do-Fin-Ind-Pres-S3 .
he's eat lots of cookies and he is mean .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|eat-Inf-S noun|lot-Plur-Acc adp|of noun|cookie-Plur cconj|and pron|he-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 adj|mean-S1 .
they all gonna be really dark .	pron|they-Prs-Nom-P3 det|all-Def-Tot aux|gonna-Fin-S aux|be-Inf-S adv|really adj|dark-S1 .
they all gon [//] they will be really dark so no one can see theirselves [: themselves] [* m] .	pron|they-Prs-Nom-P3 det|all-Def-Tot pron|they-Prs-Nom-P3 aux|will-Fin-S aux|be-Inf-S adv|really adj|dark-S1 sconj|so det|no-Def-Neg pron|one-Neg-S1 aux|can-Fin-S verb|see-Inf-S pron|themselves-Prs-Acc-reflx-P3 .
because they'll hadta see all they lights .	sconj|because pron|they-Prs-Nom-P3~aux|will-Fin-S part|hadt verb|see-Inf-S det|all-Def-Tot pron|they-Prs-Nom-P3 verb|light-Fin-Ind-Pres-P3 .
I'm asleep .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|asleep-S1 .
then [/] then the cookie monster (.) he [/] he don't [//] the cookie monster [//] him [//] the cook [//] the (.) &-uh (.) cookie &~mon +...	adv|then det|the-Def-Art noun|cookie noun|monster pron|he-Prs-Nom-S3 det|the-Def-Art noun|cookie det|the-Def-Art det|the-Def-Art noun|cookie +...
when it's all gone (.) then the cookie monster get mean .	adv|when pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|all adj|gone-S1 adv|then det|the-Def-Art noun|cookie noun|monster verb|get-Fin-Ind-Pres-S3 adj|mean-S1 .
and him bounces Santa_Clause up and down (.) up and down (.) up and down (.) up and down (.) up and down (.) up and down (.) up and down and up an down .	cconj|and pron|he-Prs-Acc-S3 verb|bounce-Fin-Ind-Pres-S3 propn|SantaClause-Acc adp|up cconj|and adv|down adv|up cconj|and adv|down adv|up cconj|and adv|down adv|up cconj|and adv|down adv|up cconj|and adv|down adv|up cconj|and adv|down adv|up cconj|and adv|down cconj|and adp|up det|a-Ind-Art noun|down .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
I don't +...	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not +...
mommy buys it for coat (.) but get use it for me .	noun|mommy verb|buy-Fin-Ind-Pres-S3 pron|it-Prs-Acc-S3 adp|for noun|coat cconj|but aux|get-Fin-Imp-S verb|use-Inf-S pron|it-Prs-Acc-S3 adp|for pron|I-Prs-Acc-S1 .
I gonna put it on my picture .	pron|I-Prs-Nom-S1 adv|gonna verb|put-Fin-Ind-Pres-S1 pron|it-Prs-Acc-S3 adp|on pron|my-Prs-Gen-S1 noun|picture .
I'm gonna put a [//] I will put a pg .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adv|gonna verb|put-Part-Past-S-irr pron|I-Prs-Nom-S1 aux|will-Fin-S verb|put-Inf-S det|a-Ind-Art noun|pg-Acc .
it's all gone .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|all adj|gone-S1 .
but it isn't noisy eating in a box .	cconj|but pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3~part|not adj|noisy-S1 verb|eat-Part-Pres-S adp|in det|a-Ind-Art noun|box .
Scooby was hiding .	propn|Scooby aux|be-Fin-Ind-Past-S3-irr verb|hide-Part-Pres-S .
he was hiding .	pron|he-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3-irr verb|hide-Part-Pres-S .
&-um (.) Scooby_Doo was scared .	propn|ScoobyDoo aux|be-Fin-Ind-Past-S3-irr adj|scared-S1 .
I'm get some breakfast .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|get-Inf-S det|some-Def-Ind noun|breakfast-Acc .
it's pink .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|pink-S1 .
just cook it .	adv|just verb|cook-Fin-Imp-S pron|it-Prs-Acc-S3 .
then I eat it .	adv|then pron|I-Prs-Nom-S1 verb|eat-Fin-Ind-Pres-S1 pron|it-Prs-Acc-S3 .
&-um (.) &-um (.) you bend around and you get a card out .	pron|you-Prs-Nom-S2 verb|bend-Fin-Ind-Pres-S2 adv|around cconj|and pron|you-Prs-Nom-S2 verb|get-Fin-Ind-Pres-S2 det|a-Ind-Art noun|card-Acc adp|out .
then you give it the card .	adv|then pron|you-Prs-Nom-S2 verb|give-Fin-Ind-Pres-S2 pron|it-Prs-Acc-S3 det|the-Def-Art noun|card-Acc .
then you bend around again .	adv|then pron|you-Prs-Nom-S2 verb|bend-Fin-Ind-Pres-S2 adv|around adv|again .
then you put it away .	adv|then pron|you-Prs-Nom-S2 verb|put-Fin-Ind-Past-S2-irr pron|it-Prs-Acc-S3 adv|away .
that's all .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|all-Def-Tot .
because [/] because my dad said so .	sconj|because pron|my-Prs-Gen-S1 noun|dad verb|say-Fin-Ind-Past-S3-irr adv|so .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
just (be)cause he feels it .	adv|just sconj|because pron|he-Prs-Nom-S3 verb|feel-Fin-Ind-Pres-S3 pron|it-Prs-Acc-S3 .
yeah (.) I had one in my house that was eating my stomach .	intj|yeah pron|I-Prs-Nom-S1 verb|have-Fin-Ind-Past-S1-irr num|one adp|in pron|my-Prs-Gen-S1 noun|house pron|that-Rel aux|be-Fin-Ind-Past-S3-irr verb|eat-Part-Pres-S pron|my-Prs-Gen-S1 noun|stomach-Acc .
puts hims [: his] [* m] &~t [/] teeths on him tongue and then he eats it .	verb|put-Fin-Ind-Pres-S3 pron|his-Prs-Gen-S3 noun|teeth-Plur-Acc adp|on pron|he-Prs-Acc-S3 noun|tongue cconj|and adv|then pron|he-Prs-Nom-S3 verb|eat-Fin-Ind-Pres-S3 pron|it-Prs-Acc-S3 .
that's +...	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 +...
+, that's the cartoon name .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|cartoon noun|name .
when it hafta have them all day ?	adv|when pron|it-Prs-Nom-S3 aux|hafta-Fin-Ind-Pres-S3 verb|have-Fin-Ind-Pres-P3 pron|they-Prs-Acc-P3 det|all-Def-Tot noun|day ?
he does and &-um (.) Kermit frog does too .	pron|he-Prs-Nom-S3 aux|do-Fin-Ind-Pres-S3 cconj|and propn|Kermit noun|frog aux|do-Fin-Ind-Pres-S3 adv|too .
he even [//] even her does too .	pron|he-Prs-Nom-S3 adv|even pron|her-Prs-Acc-S3 aux|do-Fin-Ind-Pres-S3 adv|too .
and even my mom does too .	cconj|and adv|even pron|my-Prs-Gen-S1 noun|mom aux|do-Fin-Ind-Pres-S3 adv|too .
I do too .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1 adv|too .
I just put my teeths on my tongue then I eat (th)em .	pron|I-Prs-Nom-S1 adv|just verb|put-Fin-Ind-Past-S1-irr pron|my-Prs-Gen-S1 noun|teeth-Plur-Acc adp|on pron|my-Prs-Gen-S1 noun|tongue adv|then pron|I-Prs-Nom-S1 verb|eat-Fin-Ind-Pres-S1 pron|they-Prs-Acc-P3 .
that's not a sticker .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 part|not det|a-Ind-Art noun|sticker .
it's a house .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|house .
how can I get this off ?	adv|how aux|can-Fin-S pron|I-Prs-Nom-S1 verb|get-Inf-S pron|this-Dem-S1 adp|off ?
it keeps getting away [//] peeling away .	pron|it-Prs-Nom-S3 verb|keep-Fin-Ind-Pres-S3 verb|get-Ger-S verb|peel-Ger-S adv|away .
and I w [//] then I got dressed .	cconj|and pron|I-Prs-Nom-S1 adv|then pron|I-Prs-Nom-S1 aux|get-Fin-Ind-Past-S1-irr verb|dress-Part-Past-S .
then I got [/] then I +...	adv|then pron|I-Prs-Nom-S1 adv|then pron|I-Prs-Nom-S1 +...
dad dropped me to the store and then I bought them .	noun|dad verb|drop-Fin-Ind-Past-S3 pron|I-Prs-Acc-S1 adp|to det|the-Def-Art noun|store cconj|and adv|then pron|I-Prs-Nom-S1 verb|buy-Fin-Ind-Past-S1-irr pron|they-Prs-Acc-P3 .
and then [/] then them [//] then they +...	cconj|and adv|then adv|then pron|they-Prs-Nom-P3 +...
+, then you can see outside .	adv|then pron|you-Prs-Nom-S2 aux|can-Fin-S verb|see-Inf-S adv|outside .
you just eat the marbles .	pron|you-Prs-Nom-S2 adv|just verb|eat-Fin-Ind-Pres-S2 det|the-Def-Art noun|marble-Acc .
I got [: forgot] how you play it .	pron|I-Prs-Nom-S1 verb|forget-Fin-Ind-Past-S1-irr adv|how pron|you-Prs-Nom-S2 verb|play-Fin-Ind-Pres-S2 pron|it-Prs-Acc-S3 .
but my m [/] but my mom does (.) know how to play it .	cconj|but pron|my-Prs-Gen-S1 cconj|but pron|my-Prs-Gen-S1 noun|mom aux|do-Fin-Ind-Pres-S3 verb|know-Inf-S adv|how part|to verb|play-Inf-S pron|it-Prs-Acc-S3 .
you hide from somebody (.) then you +/.	pron|you-Prs-Nom-S2 verb|hide-Fin-Ind-Pres-S2 adp|from pron|somebody-Ind-S1 adv|then pron|you-Prs-Acc-S2 +/.
somebody's by door .	pron|somebody-Ind-S1~aux|be-Fin-Ind-Pres-S3 adp|by noun|door .
maybe that was my mom .	adv|maybe pron|that-Dem aux|be-Fin-Ind-Past-S3-irr pron|my-Prs-Gen-S1 noun|mom .
then you get tagged .	adv|then pron|you-Prs-Nom-S2 aux|get-Fin-Ind-Pres-S2 verb|tagg-Part-Past-S .
I do !	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1 !
what this does .	pron|what-Int-S1 pron|this-Dem-S1 aux|do-Fin-Ind-Pres-S3 .
look what else I do +/.	verb|look-Fin-Imp-S pron|what-Int-S1 adv|else pron|I-Prs-Nom-S1 verb|do-Fin-Ind-Pres-S1 +/.
this a taperecorder here ?	pron|this-Dem-S1 det|a-Ind-Art noun|taperecorder adv|here ?
and here it is again .	cconj|and adv|here pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 adv|again .
then I [/] I calls Pizzaman .	adv|then pron|I-Prs-Nom-S1 verb|call-Fin-Ind-Pres-S3 propn|Pizzaman-Acc .
can I go ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|go-Inf-S ?
who is it ?	pron|who-Int aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?
I wanna get down .	pron|I-Prs-Nom-S1 aux|wanna-Fin-S verb|get-Inf-S adp|down .
what'd you have right here ?	pron|what-Int-S1~aux|would-Fin-S pron|you-Prs-Nom-S2 verb|have-Inf-S adv|right adv|here ?
I will next time .	pron|I-Prs-Nom-S1 aux|will-Fin-S adj|next-S1 noun|time .
when somebody's [//] when you get dressed (.) you have xxx to here .	adv|when adv|when pron|you-Prs-Nom-S2 aux|get-Fin-Ind-Pres-S2 verb|dress-Part-Past-S pron|you-Prs-Nom-S2 verb|have-Fin-Ind-Pres-S2 part|to adv|here .
Oscar is the grouchy thing .	propn|Oscar aux|be-Fin-Ind-Pres-S3 det|the-Def-Art adj|grouchy-S1 noun|thing-Ger .
can I use this pen (.) a little bit ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|use-Inf-S det|this-Def-Dem-Sing noun|pen-Acc det|a-Ind-Art adj|little-S1 noun|bit ?
when somebody's home (.) it got broken .	adv|when pron|somebody-Ind-S1~part|s noun|home pron|it-Prs-Nom-S3 aux|get-Fin-Ind-Past-S3-irr verb|break-Part-Past-S-irr .
when I erase it off (.) I have erase it off (.) (o)kay ?	adv|when pron|I-Prs-Nom-S1 verb|erase-Fin-Ind-Pres-S1 pron|it-Prs-Acc-S3 adp|off pron|I-Prs-Nom-S1 aux|have-Fin-Ind-Pres-S1 verb|erase-Inf-S pron|it-Prs-Acc-S3 adp|off intj|okay ?
no (.) this eraser right here .	intj|no det|this-Def-Dem-Sing noun|eraser adv|right adv|here .
don't have a eraser right here ?	aux|do-Fin-Ind-Pres-S~part|not verb|have-Fin-Imp-S det|a-Ind-Art noun|eraser-Acc adv|right adv|here ?
the sun's have be up .	det|the-Def-Art noun|sun~part|s aux|have-Fin-Ind-Pres-P3 aux|be-Inf-S adv|up .
we have get dressed fast .	pron|we-Prs-Nom-P1 aux|have-Fin-Ind-Pres-P1 aux|get-Part-S verb|dress-Part-Past-S adv|fast .
&-um (.) I will get dressed very fast now .	pron|I-Prs-Nom-S1 aux|will-Fin-S aux|get-Inf-S verb|dress-Part-Past-S adv|very adj|fast-S1 adv|now .
when somebody said (.) get dressed (.) get dressed .	adv|when pron|somebody-Ind-S1 verb|say-Fin-Ind-Past-S3-irr aux|get-Inf-S verb|dress-Part-Past-S aux|get-Inf-S verb|dress-Part-Past-S .
you have eat them .	pron|you-Prs-Nom-S2 aux|have-Fin-Ind-Pres-S2 verb|eat-Inf-Past-S pron|they-Prs-Acc-P3 .
you didn't eat last time .	pron|you-Prs-Nom-S2 aux|do-Fin-Ind-Past-S2-irr~part|not verb|eat-Inf-S adj|last-S1 noun|time .
last time you didn't eat .	adj|last-S1 noun|time pron|you-Prs-Nom-S2 aux|do-Fin-Ind-Past-S2-irr~part|not verb|eat-Inf-S .
when somebody say (.) get along (.) you hafta go to bed .	adv|when pron|somebody-Ind-S1 verb|say-Fin-Ind-Pres-S3 verb|get-Fin-Imp-S adv|along pron|you-Prs-Nom-S2 aux|hafta-Fin-Ind-Pres-S2 verb|go-Inf-S adp|to noun|bed .
this is (.) &-um (.) when somebody [//] you ha wet and runs .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 adv|when pron|you-Prs-Nom-S2 aux|ha-Fin-Ind-Pres-S2 adj|wet-S1 cconj|and verb|run-Fin-Ind-Pres-S3 .
when I break this off (.) I can't break this off because this xxx .	adv|when pron|I-Prs-Nom-S1 verb|break-Fin-Ind-Pres-S1 pron|this-Dem-S1 adp|off pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|break-Inf-S pron|this-Dem-S1 adp|off sconj|because pron|this-Dem-S1 .
when somebody (..) talk to me !	adv|when pron|somebody-Ind-S1 verb|talk-Fin-Ind-Pres-S3 adp|to pron|I-Prs-Acc-S1 !
because mommy said (..) so !	sconj|because propn|mommy verb|say-Fin-Ind-Past-S3-irr adv|so !
she says (.) why aren't you out the [//] outside (.) not inside .	pron|she-Prs-Nom-S3 verb|say-Fin-Ind-Pres-S3 adv|why aux|be-Fin-Ind-Pres-S2~part|not pron|you-Prs-Nom-S2 adv|out adv|outside part|not adv|inside .
because when this is my name (.) you hafta do your homework .	sconj|because adv|when pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 noun|name pron|you-Prs-Nom-S2 aux|hafta-Fin-Ind-Pres-S2 verb|do-Inf-S pron|your-Prs-Gen-S2 noun|homework-Acc .
when Allan will be quiet .	adv|when propn|Allan aux|will-Fin-S aux|be-Inf-S adj|quiet-S1 .
only me .	adv|only pron|I-Prs-Acc-S1 .
and Elizabeth (.) Jody (.) non else .	cconj|and propn|Elizabeth propn|Jody adv|non adv|else .
because I said (.) Allan (.) wait there .	sconj|because pron|I-Prs-Nom-S1 verb|say-Fin-Ind-Past-S1-irr propn|Allan verb|wait-Fin-Ind-Pres-S3 adv|there .
and Allan gonna be quiet .	cconj|and propn|Allan part|go aux|be-Inf-S adj|quiet-S1 .
only [/] only [/] only Jody and me !	adv|only propn|Jody cconj|and pron|I-Prs-Acc-S1 !
&-um (.) petuhuk@c (.) I [/] I can't fine bo@c .	c|petuhuk pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|fine-Inf-S c|bo .
let's play soft because somebody said (.) please be soft .	verb|let-Fin-Imp-S~pron|we-Prs-Acc-P1 verb|play-Inf-S adj|soft-S1 sconj|because pron|somebody-Ind-S1 verb|say-Fin-Ind-Past-S3-irr intj|please aux|be-Fin-Imp-S adj|soft-S1 .
when [/] when somebody wake up (.) he ask me wake up .	adv|when pron|somebody-Ind-S1 verb|wake-Fin-Ind-Pres-S3 adp|up pron|he-Prs-Nom-S3 verb|ask-Fin-Ind-Pres-S3 pron|I-Prs-Acc-S1 verb|wake-Inf-S adp|up .
&-um (.) you have wake up .	pron|you-Prs-Nom-S2 aux|have-Fin-Ind-Pres-S2 verb|wake-Inf-S adp|up .
you hafta .	pron|you-Prs-Nom-S2 aux|hafta-Fin-Ind-Pres-S2 .
you have erase .	pron|you-Prs-Nom-S2 aux|have-Fin-Ind-Pres-S2 verb|erase-Inf-S .
yeah (.) what's here .	intj|yeah pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 adv|here .
mommy and daddy and somebody's there .	noun|mommy cconj|and noun|daddy cconj|and pron|somebody-Ind-S1~aux|be-Fin-Ind-Pres-S3 adv|there .
I don't (.) know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
he's on the cartoon .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adp|on det|the-Def-Art noun|cartoon .
&-uh no I don't know .	intj|no pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
it's the same the pg .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art adj|same-S1 det|the-Def-Art noun|pg .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
daddy did and mommy did .	noun|daddy aux|do-Fin-Ind-Past-S3-irr cconj|and noun|mommy aux|do-Fin-Ind-Past-S3-irr .
I been bimbi@wp some cocoa puffs .	pron|I-Prs-Nom-S1 aux|be-Part-Past-S-irr wp|bimbi det|some-Def-Ind noun|cocoa noun|puff-Plur-Acc .
mama did .	noun|mama aux|do-Fin-Ind-Past-S3-irr .
pants (.) for outside .	noun|pants-Ptan adp|for adv|outside .
it's raining outside .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|rain-Part-Pres-S adv|outside .
it's raining .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|rain-Part-Pres-S .
my ma's waiting for me .	pron|my-Prs-Gen-S1 noun|ma~aux|be-Fin-Ind-Pres-S3 noun|waiting-Ger adp|for pron|I-Prs-Acc-S1 .
for [//] it's for chocolate milk .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adp|for noun|chocolate noun|milk .
it's for chocolate milk .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adp|for noun|chocolate noun|milk .
it's for breakfast !	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adp|for noun|breakfast !
that's for chocolate milk .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 adp|for noun|chocolate noun|milk .
she's cleaning the kitchen ?	pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|clean-Part-Pres-S det|the-Def-Art noun|kitchen-Acc ?
the school's down there .	det|the-Def-Art noun|school~aux|be-Fin-Ind-Pres-S3 adv|down adv|there .
the g [//] the boys did .	det|the-Def-Art det|the-Def-Art noun|boy-Plur aux|do-Fin-Ind-Past-P3-irr .
<the boys did> [<] .	det|the-Def-Art noun|boy-Plur aux|do-Fin-Ind-Past-P3-irr .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
she must in a lot of toys over there .	pron|she-Prs-Nom-S3 aux|must-Fin-S adp|in det|a-Ind-Art noun|lot adp|of noun|toy-Plur adp|over adv|there .
I'll get fire trucks for my birthday .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|get-Inf-S noun|fire noun|truck-Plur-Acc adp|for pron|my-Prs-Gen-S1 noun|birthday .
that's all .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|all-Def-Tot .
I'll play with some fire trucks .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|play-Inf-S adp|with det|some-Def-Ind noun|fire noun|truck-Plur .
that's all .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|all-Def-Tot .
that's all .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|all-Def-Tot .
